Label, X, Y, Z, DetonatingTime
101,100669.14,99798.78,3175.89,5349
102,100671.69,99803.07,3175.81,5128
103,100674.25,99807.31,3175.83,5044
104,100676.78,99811.63,3175.79,4963
105,100679.37,99815.95,3175.73,4886
106,100681.99,99820.47,3175.57,4801
107,100684.6,99824.99,3175.58,4727
108,100687.35,99829.75,3175.68,4645
109,100689.24,99834.92,3175.81,4569
110,100691.1,99840.09,3175.91,4479
111,100692.96,99845.27,3175.76,4396
112,100694.92,99850.41,3175.84,4301
113,100696.87,99855.55,3175.84,4212
114,100698.83,99860.69,3175.85,4111
115,100700.74,99865.85,3175.87,4016
116,100702.42,99871.08,3175.98,3921
117,100704.09,99876.23,3175.9,3826
201,100686.08,99793.25,3176.93,4525
202,100688.96,99798.04,3176.48,4429
203,100691.8,99802.81,3176.46,4341
204,100695.27,99808.71,3176.33,4221
205,100698.83,99814.85,3176.59,4119
206,100702.39,99820.99,3176.24,3962
207,100705.08,99827.54,3176.29,3857
208,100707.47,99834.22,3176.63,3752
209,100710.08,99841.26,3175.87,3647
210,100712.73,99848.27,3175.7,3542
211,100715.42,99855.32,3175.89,3437
212,100717.88,99862.4,3176.1,3332
213,100720.16,99869.43,3176.01,3227
301,100690.77,99790.04,3176.68,4317
302,100694.45,99796.38,3176.53,4204
303,100698.18,99802.74,3176.52,4099
304,100701.9,99808.86,3176.55,3945
305,100705.52,99815.07,3176.34,3840
306,100708.89,99821.18,3176.19,3735
307,100711.31,99827.88,3176.6,3630
308,100713.68,99834.54,3176.6,3525
309,100716.13,99841.23,3175.78,3420
310,100718.69,99847.83,3175.74,3315
311,100721.23,99854.47,3175.96,3210
312,100723.51,99861.14,3175.94,3105
313,100725.55,99867.39,3176.04,3000
501,100683.1,99789.16,3176.81,4719
502,100687.79,99786,3176.93,4509
601,100673.92,99795.67,3176.19,5139
602,100676.72,99800.36,3176.25,4944
603,100679.92,99805.78,3176.09,4834
604,100683.18,99811.23,3175.88,4653
605,100686.43,99816.78,3175.86,4553
606,100689.44,99821.97,3175.81,4448
607,100692.44,99827.16,3175.78,4365
608,100694.53,99832.78,3175.97,4333
609,100696.55,99838.43,3175.96,4255
610,100698.6,99844.07,3175.83,4150
611,100700.87,99850.03,3175.91,4056
612,100703.14,99855.96,3176.03,3891
613,100705.44,99862.01,3176.12,3786
614,100707.42,99868.08,3176,3681
615,100709.34,99873.99,3175.99,3576
651,100678.58,99792.35,3176.7,4936
652,100681.17,99796.69,3176.42,4735
653,100683.96,99801.38,3176.35,4624
654,100686.83,99806.22,3176.17,4541
655,100689.89,99811.38,3176.08,4437
656,100692.89,99816.57,3176.11,4349
657,100695.9,99821.77,3176.05,4242
658,100698.55,99827.12,3176.06,4133
659,100700.58,99832.77,3176.08,4039
660,100702.61,99838.42,3176.02,3979
661,100704.69,99844.04,3175.89,3874
662,100706.83,99849.65,3175.89,3769
663,100708.96,99855.26,3176.05,3664
664,100711.1,99860.87,3176.02,3559
665,100712.95,99866.57,3176.08,3454
666,100714.64,99871.89,3175.97,3349
701,100665.03,99801.64,3175.89,5512
702,100667.67,99806.26,3175.87,5357
703,100670.48,99810.95,3175.75,5250
704,100673.19,99815.71,3175.85,5157
705,100676.12,99820.41,3175.62,5070
706,100678.66,99825.32,3175.52,4971
707,100681.42,99830.08,3175.51,4878
708,100683.67,99835.08,3175.79,4792
709,100685.65,99840.21,3175.85,4701
710,100687.53,99845.36,3175.87,4611
711,100689.5,99850.49,3175.85,4517
712,100691.45,99855.64,3175.63,4421
713,100693.39,99861.25,3175.62,4325
714,100695.49,99866.84,3175.8,4229
715,100697.35,99872.6,3175.95,4141
716,100699.11,99878.19,3176.01,4047
801,100661.99,99803.71,3176.09,5769
802,100663.75,99806.63,3176.13,5617
803,100665.87,99809.61,3175.93,5567
804,100667.33,99812.77,3176.01,5504
805,100669.13,99815.73,3175.91,5451
806,100670.91,99818.82,3175.74,5392
807,100672.67,99821.78,3175.65,5336
808,100674.29,99824.95,3175.67,5280
809,100676.04,99827.98,3175.61,5224
810,100677.79,99831.01,3175.75,5172
811,100679.48,99834.07,3175.8,5112
812,100680.66,99837.36,3176.01,5052
813,100681.84,99840.66,3176.06,4986
814,100683.21,99843.85,3176.28,4917
815,100684.41,99847.18,3176.1,4861
816,100685.74,99850.45,3176.18,4809
817,100686.86,99853.74,3176.19,4751
818,100688.07,99857.02,3176.03,4693
819,100689.38,99860.23,3176.03,4637
820,100690.42,99863.61,3176,4581
821,100691.66,99866.88,3175.93,4533
